Rank,Player Name,State,Country,Email_Id,Ranking Points,Ranking Year,Last Updated
1,US Player 001,California,US,us.player001@carromus.org,2480,2025,2025-01-01T12:00:00Z
2,US Player 002,Texas,US,us.player002@carromus.org,2471,2025,2025-02-02T12:00:00Z
3,US Player 060,Michigan,US,us.player060@carromus.org,2462,2025,2025-03-03T12:00:00Z
4,US Player 061,California,US,us.player061@carromus.org,2453,2025,2025-04-04T12:00:00Z
5,US Player 062,Texas,US,us.player062@carromus.org,2444,2025,2025-05-05T12:00:00Z
6,US Player 063,Florida,US,us.player063@carromus.org,2435,2025,2025-06-06T12:00:00Z
7,US Player 064,NewYork,US,us.player064@carromus.org,2426,2025,2025-07-07T12:00:00Z
8,US Player 065,Illinois,US,us.player065@carromus.org,2417,2025,2025-08-08T12:00:00Z
9,US Player 066,Georgia,US,us.player066@carromus.org,2408,2025,2025-09-09T12:00:00Z
10,US Player 067,Arizona,US,us.player067@carromus.org,2399,2025,2025-10-10T12:00:00Z
11,US Player 068,Ohio,US,us.player068@carromus.org,2390,2025,2025-11-11T12:00:00Z
12,US Player 069,Washington,US,us.player069@carromus.org,2381,2025,2025-12-12T12:00:00Z
13,US Player 070,Colorado,US,us.player070@carromus.org,2372,2025,2025-01-13T12:00:00Z
14,US Player 071,Virginia,US,us.player071@carromus.org,2363,2025,2025-02-14T12:00:00Z
15,US Player 072,Michigan,US,us.player072@carromus.org,2354,2025,2025-03-15T12:00:00Z
16,US Player 073,California,US,us.player073@carromus.org,2345,2025,2025-04-16T12:00:00Z
17,US Player 074,Texas,US,us.player074@carromus.org,2336,2025,2025-05-17T12:00:00Z
18,US Player 075,Florida,US,us.player075@carromus.org,2327,2025,2025-06-18T12:00:00Z
19,US Player 076,NewYork,US,us.player076@carromus.org,2318,2025,2025-07-19T12:00:00Z
20,US Player 077,Illinois,US,us.player077@carromus.org,2309,2025,2025-08-20T12:00:00Z
21,US Player 078,Georgia,US,us.player078@carromus.org,2300,2025,2025-09-21T12:00:00Z
22,US Player 079,Arizona,US,us.player079@carromus.org,2291,2025,2025-10-22T12:00:00Z
23,US Player 080,Ohio,US,us.player080@carromus.org,2282,2025,2025-11-23T12:00:00Z
24,US Player 081,Washington,US,us.player081@carromus.org,2273,2025,2025-12-24T12:00:00Z
25,US Player 082,Colorado,US,us.player082@carromus.org,2264,2025,2025-01-25T12:00:00Z
26,US Player 083,Virginia,US,us.player083@carromus.org,2255,2025,2025-02-26T12:00:00Z
27,US Player 084,Michigan,US,us.player084@carromus.org,2246,2025,2025-03-27T12:00:00Z
28,US Player 085,California,US,us.player085@carromus.org,2237,2025,2025-04-28T12:00:00Z
