Rank,Player Name,State,Country,Email_Id,Ranking Points,Ranking Year,Last Updated
1,US Player 001,California,US,us.player001@carromus.org,2460,2024,2024-01-01T12:00:00Z
2,US Player 002,Texas,US,us.player002@carromus.org,2451,2024,2024-02-02T12:00:00Z
3,US Player 034,Colorado,US,us.player034@carromus.org,2442,2024,2024-03-03T12:00:00Z
4,US Player 035,Virginia,US,us.player035@carromus.org,2433,2024,2024-04-04T12:00:00Z
5,US Player 036,Michigan,US,us.player036@carromus.org,2424,2024,2024-05-05T12:00:00Z
6,US Player 037,California,US,us.player037@carromus.org,2415,2024,2024-06-06T12:00:00Z
7,US Player 038,Texas,US,us.player038@carromus.org,2406,2024,2024-07-07T12:00:00Z
8,US Player 039,Florida,US,us.player039@carromus.org,2397,2024,2024-08-08T12:00:00Z
9,US Player 040,NewYork,US,us.player040@carromus.org,2388,2024,2024-09-09T12:00:00Z
10,US Player 041,Illinois,US,us.player041@carromus.org,2379,2024,2024-10-10T12:00:00Z
11,US Player 042,Georgia,US,us.player042@carromus.org,2370,2024,2024-11-11T12:00:00Z
12,US Player 043,Arizona,US,us.player043@carromus.org,2361,2024,2024-12-12T12:00:00Z
13,US Player 044,Ohio,US,us.player044@carromus.org,2352,2024,2024-01-13T12:00:00Z
14,US Player 045,Washington,US,us.player045@carromus.org,2343,2024,2024-02-14T12:00:00Z
15,US Player 046,Colorado,US,us.player046@carromus.org,2334,2024,2024-03-15T12:00:00Z
16,US Player 047,Virginia,US,us.player047@carromus.org,2325,2024,2024-04-16T12:00:00Z
17,US Player 048,Michigan,US,us.player048@carromus.org,2316,2024,2024-05-17T12:00:00Z
18,US Player 049,California,US,us.player049@carromus.org,2307,2024,2024-06-18T12:00:00Z
19,US Player 050,Texas,US,us.player050@carromus.org,2298,2024,2024-07-19T12:00:00Z
20,US Player 051,Florida,US,us.player051@carromus.org,2289,2024,2024-08-20T12:00:00Z
21,US Player 052,NewYork,US,us.player052@carromus.org,2280,2024,2024-09-21T12:00:00Z
